,Tarih,Saat,Toplam (MWh),ISPARTA WindSpeed(m/s)
342,15.02.2018,06:00,31.99,(7.548087611118076+0j)
343,15.02.2018,07:00,37.89,(7.9862037761758975+0j)
344,15.02.2018,08:00,42.42,(8.292568616751437+0j)
345,15.02.2018,09:00,44.59,(8.4316261704708+0j)
346,15.02.2018,10:00,43.82,(8.382810398648612+0j)
347,15.02.2018,11:00,13.39,(5.646236233871143+0j)
348,15.02.2018,12:00,51.56,(8.849861796399109+0j)
349,15.02.2018,13:00,55.06,(9.045743207280346+0j)
350,15.02.2018,14:00,57.74,(9.190189055795475+0j)
351,15.02.2018,15:00,59.7,(9.293021945809096+0j)
352,15.02.2018,16:00,55.52,(9.070864332854413+0j)
353,15.02.2018,17:00,59.35,(9.274825772367967+0j)
354,15.02.2018,18:00,51.72,(8.859006583888482+0j)
355,15.02.2018,19:00,46.54,(8.552786782134326+0j)
356,15.02.2018,20:00,44.44,(8.422160933315263+0j)
357,15.02.2018,21:00,40.52,(8.166864146342274+0j)
358,15.02.2018,22:00,28.78,(7.2866702351008135+0j)
359,15.02.2018,23:00,17.92,(6.222212717358714+0j)
360,16.02.2018,00:00,25.02,(6.954425955341409+0j)
361,16.02.2018,01:00,12.08,(5.455750449772428+0j)
362,16.02.2018,02:00,6.69,(4.480304777007117+0j)
363,16.02.2018,03:00,6.03,(4.327840928799577+0j)
364,16.02.2018,04:00,14.18,(5.755162570546919+0j)
365,16.02.2018,05:00,17.4,(6.161435906308916+0j)
366,16.02.2018,06:00,16.25,(6.022590121764858+0j)
367,16.02.2018,07:00,24.24,(6.8813934679405495+0j)
368,16.02.2018,08:00,24.24,(6.8813934679405495+0j)
369,16.02.2018,09:00,30.12,(7.398048512902526+0j)
370,16.02.2018,10:00,29.27,(7.327791322373983+0j)
371,16.02.2018,11:00,28.58,(7.2697519707570555+0j)
372,16.02.2018,12:00,31.66,(7.5220431870673865+0j)
373,16.02.2018,13:00,36.32,(7.874339445254158+0j)
374,16.02.2018,14:00,39.52,(8.099119949841532+0j)
375,16.02.2018,15:00,41.58,(8.237466865789496+0j)
376,16.02.2018,16:00,30.25,(7.40867673291601+0j)
377,16.02.2018,17:00,34.29,(7.724813696021318+0j)
378,16.02.2018,18:00,45.26,(8.473647018748647+0j)
379,16.02.2018,19:00,46.8,(8.568684191917365+0j)
380,16.02.2018,20:00,45.3,(8.476142570952637+0j)
381,16.02.2018,21:00,41.15,(8.208972464239427+0j)
382,16.02.2018,22:00,41.27,(8.216944280333374+0j)
383,16.02.2018,23:00,40.03,(8.13381048134685+0j)
384,17.02.2018,00:00,39.02,(8.06481867505164+0j)
385,17.02.2018,01:00,40.96,(8.196318665433777+0j)
386,17.02.2018,02:00,35.02,(7.779247093819842+0j)
387,17.02.2018,03:00,30.62,(7.438760583472279+0j)
388,17.02.2018,04:00,32.95,(7.62284914708591+0j)
389,17.02.2018,05:00,37.19,(7.936717309082991+0j)
390,17.02.2018,06:00,38.44,(8.024660086919491+0j)
391,17.02.2018,07:00,42.52,(8.299079744282583+0j)
392,17.02.2018,08:00,35.65,(7.825618949441779+0j)
393,17.02.2018,09:00,39.2,(8.077200708837013+0j)
394,17.02.2018,10:00,34.6,(7.748022715552256+0j)
395,17.02.2018,11:00,33.88,(7.693902047637578+0j)
396,17.02.2018,12:00,38.32,(8.016301059945711+0j)
397,17.02.2018,13:00,46.57,(8.554624115548986+0j)
398,17.02.2018,14:00,57.94,(9.200787830100555+0j)
399,17.02.2018,15:00,57.75,(9.190719575282644+0j)
400,17.02.2018,16:00,57.58,(9.181692400951894+0j)
401,17.02.2018,17:00,55.57,(9.073586517860532+0j)
402,17.02.2018,18:00,53.97,(8.985653310726352+0j)
403,17.02.2018,19:00,55.24,(9.05558981506225+0j)
404,17.02.2018,20:00,56.06,(9.100177922247815+0j)
405,17.02.2018,21:00,56.52,(9.125000636788503+0j)
406,17.02.2018,22:00,57.21,(9.161983422387612+0j)
407,17.02.2018,23:00,54.59,(9.0199310378973+0j)
408,18.02.2018,00:00,52.43,(8.899360606368777+0j)
409,18.02.2018,01:00,56.92,(9.146476358823401+0j)
410,18.02.2018,02:00,48.95,(8.697940205499043+0j)
411,18.02.2018,03:00,38.93,(8.05861337482648+0j)
412,18.02.2018,04:00,44.1,(8.400627264997622+0j)
413,18.02.2018,05:00,39.07,(8.068261941918223+0j)
414,18.02.2018,06:00,39.95,(8.128388391259845+0j)
415,18.02.2018,07:00,35.35,(7.803605840331216+0j)
416,18.02.2018,08:00,34.44,(7.7360612566007205+0j)
417,18.02.2018,09:00,25.7,(7.016866708755256+0j)
418,18.02.2018,10:00,20.71,(6.5296848164499455+0j)
419,18.02.2018,11:00,13.33,(5.637790093761699+0j)
420,18.02.2018,12:00,4.19,(3.8332769119057843+0j)
421,18.02.2018,13:00,8.17,(4.788941566151725+0j)
422,18.02.2018,14:00,6.14,(4.353998844254713+0j)
423,18.02.2018,15:00,2.62,(3.2779270399102507+0j)
424,18.02.2018,16:00,4.14,(3.8179681349408146+0j)
425,18.02.2018,17:00,6.71,(4.484765013677805+0j)
426,18.02.2018,18:00,11.75,(5.405611227023277+0j)
427,18.02.2018,19:00,19.23,(6.370281349563446+0j)
428,18.02.2018,20:00,20.65,(6.523372889058899+0j)
429,18.02.2018,21:00,24.74,(6.928386138518337+0j)
430,18.02.2018,22:00,26.07,(7.050380069675259+0j)
431,18.02.2018,23:00,30.8,(7.453308392205281+0j)
432,19.02.2018,00:00,37.35,(7.9480828913285535+0j)
433,19.02.2018,01:00,38.45,(8.025355886809123+0j)
434,19.02.2018,02:00,33.5,(7.665028748413501+0j)
435,19.02.2018,03:00,34.03,(7.705239968618998+0j)
436,19.02.2018,04:00,23.16,(6.777638026271033+0j)
437,19.02.2018,05:00,17.16,(6.132976212332155+0j)
438,19.02.2018,06:00,11.37,(5.346698241314769+0j)
439,19.02.2018,07:00,10.97,(5.283248781772897+0j)
440,19.02.2018,08:00,11.71,(5.399470226306865+0j)
441,19.02.2018,09:00,12.73,(5.551900236823744+0j)
