,Tarih,Saat,Toplam (MWh),KIRLARELI WindSpeed(m/s)
342,15.02.2018,06:00,2.4,(3.7068241743475703+0j)
343,15.02.2018,07:00,3.87,(4.346789017187328+0j)
344,15.02.2018,08:00,8.75,(5.705156870765949+0j)
345,15.02.2018,09:00,12.6,(6.4425097989706845+0j)
346,15.02.2018,10:00,12.65,(6.451020389841289+0j)
347,15.02.2018,11:00,13.7,(6.624784595725614+0j)
348,15.02.2018,12:00,15.2,(6.858241418122342+0j)
349,15.02.2018,13:00,17.2,(7.146735705836311+0j)
350,15.02.2018,14:00,21.98,(7.7554583307573255+0j)
351,15.02.2018,15:00,33.12,(8.891226669269395+0j)
352,15.02.2018,16:00,39.66,(9.441677077660147+0j)
353,15.02.2018,17:00,41.29,(9.56929332351647+0j)
354,15.02.2018,18:00,43.43,(9.731837514008472+0j)
355,15.02.2018,19:00,46.1,(9.927316798187775+0j)
356,15.02.2018,20:00,52.4,(10.360371656028844+0j)
357,15.02.2018,21:00,55.7,(10.57344809789043+0j)
358,15.02.2018,22:00,56.53,(10.625708590337108+0j)
359,15.02.2018,23:00,56.74,(10.63884993944149+0j)
360,16.02.2018,00:00,55.1,(10.535345251756418+0j)
361,16.02.2018,01:00,54.45,(10.493753719988279+0j)
362,16.02.2018,02:00,55.05,(10.53215755254466+0j)
363,16.02.2018,03:00,55.45,(10.557605329033468+0j)
364,16.02.2018,04:00,55.25,(10.544896793934308+0j)
365,16.02.2018,05:00,55.72,(10.574713469862528+0j)
366,16.02.2018,06:00,56.48,(10.62257490235594+0j)
367,16.02.2018,07:00,57.1,(10.661302731906854+0j)
368,16.02.2018,08:00,56.5,(10.623828599393708+0j)
369,16.02.2018,09:00,55.53,(10.562680186669667+0j)
370,16.02.2018,10:00,55.88,(10.58482556157972+0j)
371,16.02.2018,11:00,55.04,(10.531519781103563+0j)
372,16.02.2018,12:00,57.55,(10.689236403856299+0j)
373,16.02.2018,13:00,56.85,(10.645720565981852+0j)
374,16.02.2018,14:00,56.45,(10.620693801749521+0j)
375,16.02.2018,15:00,48.6,(10.103619811822446+0j)
376,16.02.2018,16:00,52.72,(10.381418685245094+0j)
377,16.02.2018,17:00,50.9,(10.260554547354499+0j)
378,16.02.2018,18:00,45.44,(9.879713414246872+0j)
379,16.02.2018,19:00,46.24,(9.937355986997492+0j)
380,16.02.2018,20:00,50.0,(10.199719790116307+0j)
381,16.02.2018,21:00,49.8,(10.186101990491343+0j)
382,16.02.2018,22:00,48.66,(10.107775970173476+0j)
383,16.02.2018,23:00,47.74,(10.043668676214159+0j)
384,17.02.2018,00:00,43.7,(9.751963154424251+0j)
385,17.02.2018,01:00,38.65,(9.36083820432474+0j)
386,17.02.2018,02:00,32.45,(8.830862847772249+0j)
387,17.02.2018,03:00,26.6,(8.26466874986686+0j)
388,17.02.2018,04:00,26.0,(8.202055218102243+0j)
389,17.02.2018,05:00,27.24,(8.330427207740254+0j)
390,17.02.2018,06:00,29.66,(8.570153914352888+0j)
391,17.02.2018,07:00,36.8,(9.209036174852574+0j)
392,17.02.2018,08:00,45.3,(9.869556556756335+0j)
393,17.02.2018,09:00,35.2,(9.073589497041802+0j)
394,17.02.2018,10:00,36.7,(9.200687089427886+0j)
395,17.02.2018,11:00,35.1,(9.064988933122923+0j)
396,17.02.2018,12:00,18.8,(7.361802957735701+0j)
397,17.02.2018,13:00,15.05,(6.83560679336356+0j)
398,17.02.2018,14:00,9.6,(5.884216593820486+0j)
399,17.02.2018,15:00,4.76,(4.65729652976013+0j)
400,17.02.2018,16:00,8.72,(5.698629225625498+0j)
401,17.02.2018,17:00,10.42,(6.047197401672996+0j)
402,17.02.2018,18:00,14.05,(6.680726317524436+0j)
403,17.02.2018,19:00,20.8,(7.61411358260376+0j)
404,17.02.2018,20:00,27.2,(8.326347663891115+0j)
405,17.02.2018,21:00,30.87,(8.685145848642886+0j)
406,17.02.2018,22:00,21.13,(7.654169436575799+0j)
