,Tarih,Saat,Toplam (MWh),AFYON WindSpeed(m/s)
447,19.02.2018,15:00,48.4,(6.407007901642036+0j)
448,19.02.2018,16:00,39.0,(5.962041683380852+0j)
449,19.02.2018,17:00,47.0,(6.344626950991608+0j)
450,19.02.2018,18:00,55.0,(6.6859178414492275+0j)
451,19.02.2018,19:00,49.0,(6.433374486375069+0j)
452,19.02.2018,20:00,42.0,(6.111154110442452+0j)
453,19.02.2018,21:00,31.0,(5.5228176442684225+0j)
454,19.02.2018,22:00,32.0,(5.581575433506511+0j)
455,19.02.2018,23:00,41.5,(6.086806624752893+0j)
456,20.02.2018,00:00,47.3,(6.358097536973496+0j)
457,20.02.2018,01:00,44.4,(6.225407660543047+0j)
458,20.02.2018,02:00,46.5,(6.322048016418904+0j)
459,20.02.2018,03:00,31.0,(5.5228176442684225+0j)
460,20.02.2018,04:00,26.4,(5.234896681800632+0j)
461,20.02.2018,05:00,21.4,(4.881029099643209+0j)
462,20.02.2018,06:00,13.4,(4.175819697171497+0j)
