,Tarih,Saat,Toplam (MWh),HATAY WindSpeed(m/s)
342,15.02.2018,06:00,22.86,(7.332686349418373+0j)
343,15.02.2018,07:00,31.5,(8.159706755795227+0j)
344,15.02.2018,08:00,46.34,(9.280179499825826+0j)
345,15.02.2018,09:00,56.11,(9.891248729729206+0j)
346,15.02.2018,10:00,57.27,(9.958947152199112+0j)
347,15.02.2018,11:00,57.5,(9.972261268523575+0j)
348,15.02.2018,12:00,57.24,(9.9572079018752+0j)
349,15.02.2018,13:00,57.47,(9.97052666051006+0j)
350,15.02.2018,14:00,57.58,(9.976883942157489+0j)
351,15.02.2018,15:00,52.98,(9.703796598879517+0j)
352,15.02.2018,16:00,51.17,(9.592007412800198+0j)
353,15.02.2018,17:00,52.42,(9.669485628633932+0j)
354,15.02.2018,18:00,55.02,(9.82677989779518+0j)
355,15.02.2018,19:00,50.06,(9.522141886717456+0j)
356,15.02.2018,20:00,45.86,(9.24802617320112+0j)
357,15.02.2018,21:00,43.89,(9.11366149399181+0j)
358,15.02.2018,22:00,49.34,(9.476269757136073+0j)
359,15.02.2018,23:00,54.36,(9.787328896818673+0j)
360,16.02.2018,00:00,57.61,(9.978616340862592+0j)
361,16.02.2018,01:00,57.87,(9.99360533010701+0j)
362,16.02.2018,02:00,57.76,(9.987269325029258+0j)
363,16.02.2018,03:00,57.83,(9.991302257989943+0j)
364,16.02.2018,04:00,57.81,(9.990150323667406+0j)
365,16.02.2018,05:00,57.95,(9.998208292508147+0j)
366,16.02.2018,06:00,57.89,(9.994756468207397+0j)
367,16.02.2018,07:00,57.6,(9.978038941466506+0j)
368,16.02.2018,08:00,57.85,(9.992453926752145+0j)
369,16.02.2018,09:00,57.88,(9.994180932304465+0j)
370,16.02.2018,10:00,57.87,(9.99360533010701+0j)
371,16.02.2018,11:00,57.86,(9.993029661595937+0j)
372,16.02.2018,12:00,57.63,(9.979770939234582+0j)
373,16.02.2018,13:00,55.37,(9.847572976928364+0j)
374,16.02.2018,14:00,54.48,(9.794525464776946+0j)
375,16.02.2018,15:00,55.02,(9.82677989779518+0j)
376,16.02.2018,16:00,55.16,(9.835107681355153+0j)
377,16.02.2018,17:00,55.97,(9.883015330228162+0j)
378,16.02.2018,18:00,57.89,(9.994756468207397+0j)
